,name,gender,all_time_final_score
33192,Joel Edgerton,2,77.60221680130665
12021,Mia Farrow,0,77.54109122306886
589162,Génesis Rodríguez,1,77.49381072914593
886,William Fichtner,2,77.46402194491743
17832,Carla Gugino,1,77.4435856152046
10430,Fred Ward,2,77.42922780779544
5587,Hank Azaria,2,77.38512095686377
3197,Tom Sizemore,2,77.29929928330698
2165,Rosanna Arquette,1,76.92063522285022
56731,Jessica Alba,1,76.9054923565366
4589,Benjamin Bratt,2,76.73992183118447
54812,Chevy Chase,2,76.5093648559881
18288,Terrence Howard,2,76.49344729567864
78452,Gina Carano,1,76.4794452183376
88995,Adrianne Palicki,1,76.4492791682153
3292,Nicholas Hoult,2,76.40994315646597
71070,Amanda Seyfried,1,76.22327813814353
1936,Martin Balsam,2,76.14396724770153
9278,Jennifer Garner,1,75.81608901915797
26485,Jim Belushi,2,75.56449028460575
59233,Scoot McNairy,2,75.54077364662636
12834,Barry Pepper,2,75.43345274022876
40481,Luis Guzmán,2,75.42105861832418
4139,Tom Skerritt,2,75.36822851637474
7505,Roddy McDowall,2,75.35053406037323
5149,Bonnie Hunt,1,75.31101258135021
527393,Dylan O'Brien,2,75.25111753396696
6355,Roy Scheider,2,75.21199114966447
6486,Dan Hedaya,2,75.16893778913526
4726,Marcia Gay Harden,1,75.15249590186532
33,Gary Sinise,2,75.07207015638981
16475,Burt Reynolds,2,74.87802028515111
10158,Robert Mitchum,2,74.87262071423002
1337,Tony Leung Chiu-Wai,2,74.80311293760197
3491,Thomas Kretschmann,2,74.57921864830811
1620,Michelle Yeoh,1,74.56490939835814
20766,Richard E. Grant,2,74.33293788686558
90496,Masako Nozawa,0,74.2713436092192
12073,Mike Myers,2,74.2711669854642
14888,Bruce McGill,2,74.21735316660305
40,Orson Welles,2,74.16652351450232
36422,Luke Wilson,2,74.15651001731912
21315,Eric Roberts,2,74.13311908635805
7907,John Ratzenberger,2,74.03992196871904
6573,William Sadler,2,74.00495679532047
29222,Zac Efron,2,73.97173296188402
587,Edward James Olmos,2,73.9677697673492
1772,Anna Faris,1,73.91811204311898
21165,Kim Dickens,1,73.91121501678441
6352,Jane Fonda,1,73.73731808117256
1340664,Ava Acres,1,73.73028209241386
1812,Michelle Williams,1,73.71676682137998
9780,Angela Bassett,1,73.60321020443764
25246,Andy Lau,2,73.59723378094658
326,Kim Basinger,1,73.53989260262863
18973,Mila Kunis,1,73.51423668580651
69122,Heather Graham,1,73.46467807554056
28641,Terence Stamp,2,73.42126911031741
8167,Paul Walker,2,73.34321943701208
99,Amanda Plummer,1,73.18101205040236
4029,Bob Gunton,2,73.10534291920321
8329,Radha Mitchell,1,72.91966012882095
12799,Jeremy Piven,2,72.75276697683101
10767,Barbara Hershey,1,72.65471272283851
11107,Ben Foster,2,72.63998122933819
4808,Giancarlo Esposito,2,72.5847207033422
8688,Diego Luna,2,72.39772353809377
37632,Eddie Redmayne,2,72.27254307599053
1462,Tim Blake Nelson,2,72.22290800408969
58224,Jason Sudeikis,2,72.04234062198954
7026,Rhys Ifans,2,71.91322778870266
34982,Jeff Bennett,2,71.83164910337484
15277,Jon Favreau,2,71.71978917502484
258,Gael García Bernal,2,71.67631456421587
14343,Rene Russo,1,71.59668989777704
1922,Catherine Zeta-Jones,1,71.55459371922112
16866,Jennifer Lopez,1,71.48691651769425
78423,Omar Sy,2,71.4678009696545
38940,Evan Rachel Wood,1,71.4382752226772
12446,Peter Sellers,2,71.30972198121863
8924,Frank Langella,2,71.2882243075231
11664,Zooey Deschanel,1,71.11920666031315
1372,Karl Urban,2,71.08199405714181
27428,Aaron Taylor-Johnson,2,71.0367817646778
8767,Jim Caviezel,2,71.01219364332447
418,Robert Patrick,2,70.92790810745427
63,Milla Jovovich,1,70.91871707381128
1247,Matthew Goode,2,70.7080085525603
31531,John DiMaggio,0,70.67725067080202
14974,Barbara Stanwyck,1,70.61988818680646
57599,Seann William Scott,2,70.5886855085819
15250,Hope Davis,1,70.4994287738483
11663,Patrick Fugit,2,70.36997533012057
13472,Tim Curry,2,70.2709996141199
973,Jason Flemyng,2,70.2401845421278
2467,James Cosmo,2,70.22495883925914
7664,Joseph Cotten,2,70.16976156726531
14887,Paddy Considine,2,70.05661829919559
2880,Emilio Estevez,2,69.9760784260323
4430,Sharon Stone,1,69.88561125232178
449,Jay Baruchel,2,69.82311537887743
1237,Flea,2,69.75340670308748
1017347,Brenton Thwaites,2,69.69860924347861
58395,Karin Konoval,1,69.65491888893442
825,Stacy Keach,2,69.5743505458644
11514,Catherine O'Hara,0,69.5541334769861
10822,Stephen Dorff,2,69.42278628797065
56322,Amy Poehler,1,69.39315167959708
10872,Patton Oswalt,2,69.37071130037607
59231,Joel David Moore,2,69.32150738551356
51072,Kate Mara,1,69.30221721456041
21200,Will Arnett,2,69.29599967145754
27578,Ellen Page,1,69.20657760527563
1829985,Lilly Aspell,1,69.15327510368459
3460,Gene Wilder,2,69.0715920291566
4443,Christopher McDonald,2,69.03918117288616
23459,Sienna Miller,1,68.91796252573376
7180,John Candy,2,68.81460778896918
20904,James Hong,2,68.80478954253975
5694,Robert Forster,2,68.76002962388009
1265060,Dave Rosenbaum,0,68.7313261660811
187565,Audra McDonald,1,68.71999343024548
11367,Bradley Whitford,2,68.68090675096062
723,Patrick Swayze,2,68.59623997152899
1737,David Patrick Kelly,2,68.57584593515627
15556,Rebecca Hall,1,68.49568889434013
9994,Helen Hunt,1,68.47956694407685
478,Jamie Bell,2,68.43450096080727
3982,Xander Berkeley,2,68.34410832499364
